player_name,market,book,decimal_odds
Gary Woodland,win,draftkings,3.40
Gary Woodland,top_10,draftkings,1.14
Nicolai Hojgaard,win,draftkings,5.40
Nicolai Hojgaard,top_10,draftkings,1.26
Min Woo Lee,win,draftkings,5.85
Min Woo Lee,top_10,draftkings,1.27
Jason Day,win,draftkings,9.90
Jason Day,top_10,draftkings,1.45
Michael Thorbjornsen,win,draftkings,13.75
Michael Thorbjornsen,top_10,draftkings,1.61
Jackson Suber,win,draftkings,16.50
Jackson Suber,top_10,draftkings,1.81
Sam Stevens,win,draftkings,17.50
Sam Stevens,top_10,draftkings,1.74
Adam Scott,win,draftkings,26.00
Adam Scott,top_10,draftkings,2.02
Jake Knapp,win,draftkings,32.00
Jake Knapp,top_10,draftkings,2.20
Keith Mitchell,win,draftkings,50.00
Keith Mitchell,top_10,draftkings,2.72
Sahith Theegala,win,draftkings,54.00
Sahith Theegala,top_10,draftkings,2.78
Zecheng Dou,win,draftkings,71.00
Zecheng Dou,top_10,draftkings,3.25
Karl Vilips,win,draftkings,91.00
Karl Vilips,top_10,draftkings,3.70
Matt Wallace,win,draftkings,99.00
Matt Wallace,top_10,draftkings,3.65
Rasmus Hojgaard,win,draftkings,99.00
Rasmus Hojgaard,top_10,draftkings,3.85
Alex Smalley,win,draftkings,111.00
Alex Smalley,top_10,draftkings,3.85
Chad Ramey,win,draftkings,121.00
Chad Ramey,top_10,draftkings,4.00
Stephan Jaeger,win,draftkings,131.00
Stephan Jaeger,top_10,draftkings,4.25
Aldrich Potgieter,win,draftkings,141.00
Aldrich Potgieter,top_10,draftkings,4.80
Rico Hoey,win,draftkings,146.00
Rico Hoey,top_10,draftkings,4.50
Sudarshan Yellamaraju,win,draftkings,171.00
Sudarshan Yellamaraju,top_10,draftkings,4.90
Sam Ryder,win,draftkings,171.00
Sam Ryder,top_10,draftkings,5.00
Jhonattan Vegas,win,draftkings,181.00
Jhonattan Vegas,top_10,draftkings,5.35
Harry Hall,win,draftkings,181.00
Harry Hall,top_10,draftkings,4.85
Tom Kim,win,draftkings,186.00
Tom Kim,top_10,draftkings,4.95
Adrien Dumont De Chassart,win,draftkings,186.00
Adrien Dumont De Chassart,top_10,draftkings,5.20
Max McGreevy,win,draftkings,196.00
Max McGreevy,top_10,draftkings,5.10
Chris Gotterup,win,draftkings,201.00
Chris Gotterup,top_10,draftkings,5.35
Shane Lowry,win,draftkings,201.00
Shane Lowry,top_10,draftkings,5.20
Johnny Keefer,win,draftkings,241.00
Johnny Keefer,top_10,draftkings,5.95
Sam Burns,win,draftkings,241.00
Sam Burns,top_10,draftkings,5.70
Ricky Castillo,win,draftkings,251.00
Ricky Castillo,top_10,draftkings,5.95
Kurt Kitayama,win,draftkings,261.00
Kurt Kitayama,top_10,draftkings,6.00
Tony Finau,win,draftkings,261.00
Tony Finau,top_10,draftkings,6.10
Beau Hossler,win,draftkings,311.00
Beau Hossler,top_10,draftkings,6.70
Vince Whaley,win,draftkings,331.00
Vince Whaley,top_10,draftkings,7.00
Michael Brennan,win,draftkings,331.00
Michael Brennan,top_10,draftkings,7.20
Harris English,win,draftkings,371.00
Harris English,top_10,draftkings,6.90
Thorbjorn Olesen,win,draftkings,381.00
Thorbjorn Olesen,top_10,draftkings,7.20
Matti Schmid,win,draftkings,391.00
Matti Schmid,top_10,draftkings,7.90
Paul Waring,win,draftkings,391.00
Paul Waring,top_10,draftkings,8.30
Denny McCarthy,win,draftkings,421.00
Denny McCarthy,top_10,draftkings,7.70
Pontus Nyholm,win,draftkings,441.00
Pontus Nyholm,top_10,draftkings,8.70
Chris Kirk,win,draftkings,551.00
Chris Kirk,top_10,draftkings,9.10
Sungjae Im,win,draftkings,551.00
Sungjae Im,top_10,draftkings,9.20
Jeffrey Kang,win,draftkings,601.00
Jeffrey Kang,top_10,draftkings,10.70
Austin Eckroat,win,draftkings,626.00
Austin Eckroat,top_10,draftkings,10.10
Ben Griffin,win,draftkings,801.00
Ben Griffin,top_10,draftkings,10.60
Mac Meissner,win,draftkings,826.00
Mac Meissner,top_10,draftkings,11.00
Bronson Burgoon,win,draftkings,826.00
Bronson Burgoon,top_10,draftkings,11.50
Jesper Svensson,win,draftkings,851.00
Jesper Svensson,top_10,draftkings,12.25
Takumi Kanaya,win,draftkings,951.00
Takumi Kanaya,top_10,draftkings,12.00
Christiaan Bezuidenhout,win,draftkings,976.00
Christiaan Bezuidenhout,top_10,draftkings,12.00
William Mouw,win,draftkings,976.00
William Mouw,top_10,draftkings,12.75
Jimmy Stanger,win,draftkings,1001.00
Jimmy Stanger,top_10,draftkings,14.00
Jordan Smith,win,draftkings,1301.00
Jordan Smith,top_10,draftkings,15.00
